topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
SW,38963,545482,28,22,32,0.5618,0.0007,0.26718623,6.105539784,0.6802,-0.0018,25,15,45,0.1233,17467,0.4483,169,0.463,23.6486,104.5126
SW,38963,350667,18,15,21,0.36,0.0005,0.222453732,7.817210576,0.6643,-0.0024,15,10,63,0.1726,14514,0.3725,186,0.5096,10.5449,84.7973
SW,38963,155852,8,5,12,0.1546,0.0002,0.140352678,15.55465041,0.6071,-0.0003,6,5,158,0.4329,6775,0.1739,303,0.8301,2.8583,64.9915
SW,38963,428593,22,18,26,0.4362,0.0006,0.242770246,6.932403502,0.6736,0.0002,19,12,56,0.1534,15730,0.4037,168,0.4603,15.4782,95.4415
SW,38963,506519,26,22,31,0.5204,0.0007,0.259683312,6.337067631,0.6782,0.0002,23,14,48,0.1315,17174,0.4408,167,0.4575,20.9771,101.0601
SW,38963,584445,30,26,34,0.6,0.0008,0.274171279,5.90541534,0.6822,0.001,27,16,42,0.1151,17922,0.46,167,0.4575,26.7224,112.5924
SW,38963,389630,20,17,23,0.391,0.0005,0.233120752,7.326217539,0.6702,0.0006,17,11,59,0.1616,15457,0.3967,177,0.4849,12.8009,87.406
SW,38963,662371,34,30,39,0.672,0.0009,0.286843178,5.575840181,0.6858,-0.0005,31,18,40,0.1096,18351,0.471,159,0.4356,27.777,101.3726
SW,38963,233778,12,9,15,0.2389,0.0003,0.181403205,10.49647565,0.6426,-0.0015,10,7,94,0.2575,10642,0.2731,216,0.5918,4.5313,60.3741
SW,38963,116889,6,4,9,0.1163,0.0002,0.111226866,22.51057706,0.5678,-0.0002,4,4,258,0.7068,3280,0.0842,566,1.5507,1.5089,49.165
SW,38963,701334,36,30,42,0.7125,0.0009,0.292630071,5.438129747,0.6865,0.001,33,19,38,0.1041,18664,0.479,160,0.4384,29.4628,105.6207
SW,38963,779260,40,35,44,0.804,0.001,0.303297092,5.202793483,0.688,-0.001,37,21,35,0.0959,18982,0.4872,158,0.4329,36.7149,112.8699
SW,38963,740297,38,33,43,0.7486,0.001,0.298104002,5.314509017,0.6878,-0.001,34,20,36,0.0986,18923,0.4857,159,0.4356,33.7945,110.2563
SW,38963,623408,32,27,37,0.63,0.0008,0.280705356,5.730411463,0.6841,0.0011,29,17,41,0.1123,18044,0.4631,170,0.4658,25.8252,101.4621
SW,38963,467556,24,20,29,0.4802,0.0006,0.251579544,6.608625938,0.6756,0.0006,21,13,51,0.1397,16638,0.427,175,0.4795,15.6337,86.2094
SW,38963,311704,16,13,21,0.3234,0.0004,0.210529017,8.448900366,0.6594,-0.0034,14,9,72,0.1973,13176,0.3382,196,0.537,7.7953,72.037
SW,38963,194815,10,7,13,0.1957,0.0003,0.162944413,12.34176826,0.6293,-0.0004,8,6,115,0.3151,8689,0.223,252,0.6904,3.4519,61.354
SW,38963,272741,14,11,18,0.2764,0.0004,0.197009891,9.295742793,0.6532,-0.0002,12,8,82,0.2247,12326,0.3164,208,0.5699,6.2023,69.777
SW,35941,503174,28,24,33,0.558,0.0008,0.269388137,6.040922159,0.6804,0.0026,25,15,44,0.1205,16207,0.4509,169,0.463,18.5047,88.226
SW,35941,323469,18,14,22,0.3588,0.0005,0.224286994,7.728233188,0.6651,-0.0013,16,10,64,0.1753,13103,0.3646,187,0.5123,9.1442,69.7537
SW,35941,143764,8,6,12,0.1544,0.0002,0.141509338,15.35565684,0.6073,-0.0029,6,6,152,0.4164,5120,0.1425,343,0.9397,2.2497,53.416
SW,35941,395351,22,18,26,0.452,0.0006,0.244770939,6.856055032,0.6722,-0.0006,19,12,54,0.1479,14625,0.4069,176,0.4822,12.5201,77.9546
SW,35941,467233,26,22,30,0.5259,0.0007,0.261823387,6.269174623,0.6774,-0.0019,23,14,47,0.1288,15634,0.435,179,0.4904,16.9946,86.3035
SW,35941,539115,30,26,36,0.6086,0.0008,0.276430751,5.843621711,0.6817,-0.0019,27,16,44,0.1205,16514,0.4595,164,0.4493,22.9472,92.0392
SW,35941,359410,20,17,24,0.3949,0.0006,0.235041923,7.244255307,0.6699,-0.0017,17,11,58,0.1589,14267,0.397,176,0.4822,10.5443,74.0708
SW,35941,610997,34,29,38,0.6719,0.0009,0.28920708,5.518680621,0.6855,0.0013,31,18,39,0.1068,17033,0.4739,160,0.4384,27.9011,100.0054
SW,35941,215646,12,8,15,0.2428,0.0003,0.182898166,10.36912218,0.6422,-0.0005,10,8,95,0.2603,10306,0.2867,214,0.5863,4.2586,61.1671
SW,35941,107823,6,4,8,0.1199,0.0002,0.112143497,22.21664103,0.5668,-0.0027,4,4,237,0.6493,3426,0.0953,533,1.4603,1.6274,49.6203
SW,35941,646938,36,32,40,0.7179,0.001,0.295041663,5.382899571,0.6865,-0.0011,33,19,38,0.1041,17268,0.4805,164,0.4493,30.8215,103.9736
SW,35941,718820,40,35,45,0.8063,0.0011,0.305796592,5.150849752,0.6875,-0.0001,36,21,35,0.0959,17627,0.4904,152,0.4164,35.4679,109.9123
SW,35941,682879,38,34,42,0.7681,0.0011,0.300560705,5.261006957,0.687,-0.0005,35,20,37,0.1014,17367,0.4832,158,0.4329,34.1434,109.5205
SW,35941,575056,32,28,36,0.6517,0.0009,0.283018676,5.671081275,0.6836,0.0021,29,17,41,0.1123,16579,0.4613,156,0.4274,24.8241,97.1084
SW,35941,431292,24,20,28,0.4807,0.0007,0.253652835,6.536881396,0.6762,0.0002,21,13,50,0.137,15324,0.4264,174,0.4767,14.4072,81.5611
SW,35941,287528,16,12,19,0.3283,0.0004,0.212264007,8.350880461,0.6586,0.001,13,9,70,0.1918,12695,0.3532,189,0.5178,7.2415,68.7198
SW,35941,179705,10,7,13,0.2033,0.0003,0.164287254,12.18808715,0.6281,0.0021,8,6,117,0.3205,7564,0.2105,259,0.7096,3.0672,58.7072
SW,35941,251587,14,11,17,0.2762,0.0004,0.198633468,9.185587303,0.6526,-0.0018,11,8,82,0.2247,10703,0.2978,207,0.5671,5.9419,63.5919
SW,39941,559174,28,24,33,0.5605,0.0007,0.266517297,6.125459973,0.68,-0.0014,25,15,45,0.1233,18077,0.4526,173,0.474,20.7472,99.4964
SW,39941,359469,18,14,21,0.3555,0.0005,0.221896792,7.844643459,0.6654,-0.0011,16,10,64,0.1753,15141,0.3791,184,0.5041,9.5947,82.562
SW,39941,159764,8,5,11,0.1629,0.0002,0.140001288,15.61598923,0.6062,0.0019,6,5,156,0.4274,7063,0.1768,298,0.8164,2.3882,59.7273
SW,39941,439351,22,18,26,0.4386,0.0006,0.242162442,6.955941724,0.6732,0.0013,19,12,53,0.1452,16418,0.4111,172,0.4712,13.9171,87.7292
SW,39941,519233,26,22,30,0.5109,0.0007,0.259033164,6.357998043,0.6789,0.0009,23,14,48,0.1315,17644,0.4418,169,0.463,17.5431,88.1523
SW,39941,599115,30,25,34,0.5965,0.0008,0.273484858,5.924464513,0.6824,-0.0003,27,16,43,0.1178,18351,0.4595,159,0.4356,22.6055,91.8853
SW,39941,399410,20,16,24,0.3969,0.0005,0.232537106,7.351487054,0.6696,-0.0008,17,12,57,0.1562,15304,0.3832,178,0.4877,11.1432,77.014
SW,39941,678997,34,29,39,0.6841,0.0009,0.286125032,5.593460028,0.6845,0.0017,31,18,39,0.1068,18745,0.4693,163,0.4466,29.4991,102.6714
SW,39941,239646,12,8,15,0.2322,0.0003,0.18094904,10.53574047,0.6436,-0.0021,10,7,95,0.2603,10955,0.2743,231,0.6329,4.4262,62.083
SW,39941,119823,6,4,8,0.1198,0.0002,0.110948396,22.60114121,0.5662,-0.0038,4,4,260,0.7123,3932,0.0984,552,1.5123,1.5528,61.4647
SW,39941,718938,36,30,41,0.7153,0.0009,0.291897436,5.455154491,0.6865,0.0014,32,19,39,0.1068,19217,0.4811,169,0.463,43.747,141.0049
SW,39941,798820,40,35,45,0.7937,0.001,0.30253775,5.218804543,0.6882,-0.0007,36,21,36,0.0986,19555,0.4896,159,0.4356,49.8896,146.5601
SW,39941,758879,38,33,45,0.7549,0.001,0.297357662,5.331000735,0.6874,0.001,34,20,37,0.1014,19257,0.4821,159,0.4356,42.4176,141.2293
SW,39941,639056,32,28,37,0.6377,0.0008,0.280002576,5.748700818,0.6839,-0.0022,29,17,41,0.1123,18654,0.467,163,0.4466,32.8043,134.3587
SW,39941,479292,24,20,28,0.4766,0.0006,0.250949684,6.630744249,0.6757,0.0028,21,13,50,0.137,17064,0.4272,177,0.4849,19.7821,110.522
SW,39941,319528,16,12,19,0.317,0.0004,0.210001932,8.479121619,0.6594,0.003,14,9,70,0.1918,13774,0.3449,196,0.537,10.4905,98.1671
SW,39941,199705,10,7,14,0.1976,0.0003,0.162536462,12.38914741,0.6292,0.0039,8,6,116,0.3178,8249,0.2065,250,0.6849,3.5797,66.4276
