topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,184949,739796,8,0,24,8.0105,0,0.121235869,5.800977279,0,0.0003,5,3,51,0.1397,80884,0.4373,196,0.537,7.9802,263.8997
R,184949,1017219,11,0,28,10.9537,0.0001,0.149085622,5.059972054,0.0001,0.0005,7,3,41,0.1123,88432,0.4781,180,0.4932,10.7091,304.8313
R,184949,554847,6,0,19,6.0121,0,0.096077153,6.705488029,0,0.0001,4,3,66,0.1808,69413,0.3753,212,0.5808,6.4725,245.0258
R,184949,3236607,35,13,65,35.1364,0.0002,0.250308594,3.540162108,0.0002,0.0003,25,3,23,0.063,100673,0.5443,169,0.463,43.5693,595.0389
R,184949,2496811,27,8,52,26.9789,0.0001,0.227613507,3.780510329,0.0001,0.0003,19,3,25,0.0685,99715,0.5391,173,0.474,30.7535,500.12
R,184949,2589286,28,8,58,27.9186,0.0002,0.230793991,3.74434018,0.0002,0.0011,20,3,25,0.0685,99821,0.5397,171,0.4685,33.8843,509.1509
R,184949,1109694,12,0,30,12.0287,0.0001,0.156695087,4.892182944,0.0001,0.0006,8,3,39,0.1068,89829,0.4857,178,0.4877,11.8441,320.3658
R,184949,1572066,17,3,40,16.9754,0.0001,0.187155592,4.330208841,0.0001,0.0005,12,3,32,0.0877,95713,0.5175,172,0.4712,17.7906,380.2017
R,184949,2774235,30,9,58,29.8549,0.0002,0.236827638,3.678056196,0.0002,0.0005,21,3,25,0.0685,99979,0.5406,168,0.4603,33.889,528.4719
R,184949,2404337,26,8,50,26.0657,0.0001,0.224313012,3.818984359,0.0001,0.0003,18,3,26,0.0712,97794,0.5288,168,0.4603,29.6332,485.3052
R,184949,3606505,39,14,70,38.9942,0.0002,0.259772219,3.45098706,0.0002,0.0004,29,3,22,0.0603,101340,0.5479,160,0.4384,48.8835,632.109
R,184949,2219388,24,6,47,23.9443,0.0001,0.217313022,3.903908698,0.0001,0,17,3,27,0.074,98400,0.532,174,0.4767,26.9456,455.3634
R,184949,1202168,13,1,33,12.9765,0.0001,0.163695041,4.748519429,0.0001,-0.0007,9,3,37,0.1014,91846,0.4966,183,0.5014,12.9032,329.536
R,184949,924745,10,0,27,9.9916,0.0001,0.140750485,5.259218143,0.0001,-0.0027,7,3,44,0.1205,84806,0.4585,184,0.5041,9.765,290.7299
